business_name,categories,rating,address,price_range,url
Papa John's Pizza,Pizza,2,"2104 W Springfield Ave , Champaign, IL",$,https://www.yelp.com/biz/papa-johns-pizza-champaign?osq=Restaurants
Papa Murphy's,Pizza,3.5,"114 North Vine Street , Champaign, IL",$,https://www.yelp.com/biz/papa-murphys-urbana-2?osq=Restaurants
Papa Murphy's,Pizza,3,"1753 W Kirby Ave , Champaign, IL",$,https://www.yelp.com/biz/papa-murphys-champaign-2?osq=Restaurants
Paris Super Crepes,"Desserts,Ice Cream & Frozen Yogurt,Creperies",4.5,"601 S 6th St , Champaign, IL",$,https://www.yelp.com/biz/paris-super-crepes-champaign?osq=Restaurants
Pekara,"Coffee & Tea,Bakeries,Sandwiches",4,"811 W Springfield Ave , Champaign, IL",,https://www.yelp.com/biz/pekara-champaign?osq=Restaurants
Pekara Bakery and Bistro,"Creperies,Sandwiches,Gelato",3.5,"116 N Neil St , Champaign, IL",$,https://www.yelp.com/biz/pekara-bakery-and-bistro-champaign?osq=Restaurants
Peking Garden Restaurant,Chinese,4,"206 N Randolph St , Champaign, IL",$$,https://www.yelp.com/biz/peking-garden-restaurant-champaign?osq=Restaurants
Peking House Restaurant,"Chinese,Korean,Thai",4.5,"806 Eastwood Dr , Champaign, IL",$,https://www.yelp.com/biz/peking-house-restaurant-mahomet?osq=Restaurants
Penn Station,Sandwiches,3.5,"906 W Town Center Blvd , Champaign, IL",$$,https://www.yelp.com/biz/penn-station-champaign-2?osq=Restaurants
Perkins Restaurant & Bakery,"Bakeries,American (Traditional)",2.5,"1214 W University Ave , Champaign, IL",$$,https://www.yelp.com/biz/perkins-restaurant-and-bakery-urbana?osq=Restaurants
Phagan's Choice,"Burgers,Pizza,Sandwiches",0,"615 Doisy Ln , Champaign, IL",,https://www.yelp.com/biz/phagans-choice-champaign?osq=Restaurants
Philo Tavern,American (Traditional),3,"101 W Washington St , Champaign, IL",$$,https://www.yelp.com/biz/philo-tavern-philo?osq=Restaurants
Pho Cafe,"Vietnamese,Thai",4,"611 E Green St , Champaign, IL",$,https://www.yelp.com/biz/pho-cafe-champaign?osq=Restaurants
Pia's Sports Bar & Grill,"Venues & Event Spaces,Sports Bars,American (Traditional)",3,"1609 W Springfield Ave , Champaign, IL",$,https://www.yelp.com/biz/pias-sports-bar-and-grill-champaign?osq=Restaurants
Pizza Hut,"Pizza,Italian,Chicken Wings",3,"1317 Savoy Plaza Ln , Champaign, IL",$,https://www.yelp.com/biz/pizza-hut-savoy?osq=Restaurants
Pizza Hut,"Pizza,Italian,Chicken Wings",1.5,"409 N Mattis Ave , Champaign, IL",$,https://www.yelp.com/biz/pizza-hut-champaign?osq=Restaurants
Pizza Hut,"Pizza,Italian,Chicken Wings",2,"411 E Green St , Champaign, IL",$,https://www.yelp.com/biz/pizza-hut-champaign-2?osq=Restaurants
Pizzaland,Pizza,0,"208 W Curtis Rd , Champaign, IL",,https://www.yelp.com/biz/pizzaland-savoy?osq=Restaurants
Pizzeria Antica,"Pizza,Italian",4,"10 E Chester St , Champaign, IL",$$,https://www.yelp.com/biz/pizzeria-antica-champaign?osq=Restaurants
Po' Boys Restaurant,"Barbeque,Pizza",4,"202 E University Ave , Champaign, IL",$,https://www.yelp.com/biz/po-boys-restaurant-urbana?osq=Restaurants
Pokelab,"Poke,Seafood,Hawaiian",3,"605 S Sixth St , Champaign, IL",$,https://www.yelp.com/biz/pokelab-champaign-5?osq=Restaurants
Popeyes Louisiana Kitchen,"Fast Food,Chicken Wings",2.5,"910 W Bloomington Rd , Champaign, IL",$,https://www.yelp.com/biz/popeyes-louisiana-kitchen-champaign?osq=Restaurants
Portillo's Hot Dogs,"Hot Dogs,Burgers,Salad",3.5,"2306 N Prospect Ave , Champaign, IL",$,https://www.yelp.com/biz/portillos-hot-dogs-champaign?osq=Restaurants
Potbelly,Sandwiches,0,"501 E Green Street 501 E Green St , Champaign, IL",,https://www.yelp.com/biz/potbelly-champaign-2?osq=Restaurants
Potbelly Sandwich Shop,"Sandwiches,Fast Food,Salad",4,"501 E Green St , Champaign, IL",$,https://www.yelp.com/biz/potbelly-sandwich-shop-champaign?osq=Restaurants
Project 47 Smokehouse,"Bars,Barbeque",4,"101 N Lombard St , Champaign, IL",$$,https://www.yelp.com/biz/project-47-smokehouse-mahomet?osq=Restaurants
Punch!,"Bars,American (Traditional)",5,"217 N Neil St , Champaign, IL",,https://www.yelp.com/biz/punch-champaign?osq=Restaurants
QDOBA Mexican Eats,"Mexican,Fast Food",4,"1401 W Green St , Champaign, IL",$,https://www.yelp.com/biz/qdoba-mexican-eats-urbana?osq=Restaurants
Quis Dogs,"Food Trucks,American (Traditional),Hot Dogs",0,"2007 Branch , Champaign, IL",,https://www.yelp.com/biz/quis-dogs-champaign?osq=Restaurants
Rainbow Garden,Chinese,3,"202 E University , Champaign, IL",$$,https://www.yelp.com/biz/rainbow-garden-urbana?osq=Restaurants
Rainbow Garden Champaign,Chinese,3.5,"1402 S Neil St , Champaign, IL",$$,https://www.yelp.com/biz/rainbow-garden-champaign-champaign?osq=Restaurants
Red Cape Hot Pot,Hot Pot,3.5,"112 E Green St , Champaign, IL",,https://www.yelp.com/biz/red-cape-hot-pot-champaign?osq=Restaurants
Red Lobster,"Seafood,American (Traditional)",3,"1901 N Prospect Ave , Champaign, IL",$$,https://www.yelp.com/biz/red-lobster-champaign?osq=Restaurants
Red Robin Gourmet Burgers and Brews,"Burgers,American (Traditional)",2.5,"2010 N Neil St , Champaign, IL",$$,https://www.yelp.com/biz/red-robin-gourmet-burgers-and-brews-champaign?osq=Restaurants
Rosati's Pizza,Pizza,3,"701 S Gregory St , Champaign, IL",$,https://www.yelp.com/biz/rosatis-pizza-urbana-2?osq=Restaurants
Sakanaya,"Japanese,Sushi Bars",4.5,"403 E Green St , Champaign, IL",$$,https://www.yelp.com/biz/sakanaya-champaign-2?osq=Restaurants
Salad Meister,"Salad,Wraps",4.5,"601 S 6th St , Champaign, IL",$,https://www.yelp.com/biz/salad-meister-champaign?osq=Restaurants
Sam's Cafe,"Diners,Breakfast & Brunch",4,"115 N Walnut St , Champaign, IL",$,https://www.yelp.com/biz/sams-cafe-champaign?osq=Restaurants
Sammy's Pancake House,Breakfast & Brunch,3.5,"1206 N Mattis Ave , Champaign, IL",$,https://www.yelp.com/biz/sammys-pancake-house-champaign?osq=Restaurants
San Maru,Korean,4.5,"2504 Village Green Pl , Champaign, IL",$$,https://www.yelp.com/biz/san-maru-champaign?osq=Restaurants
Sarku Japan,Japanese,2.5,"2000 N Neil St , Champaign, IL",$,https://www.yelp.com/biz/sarku-japan-champaign-2?osq=Restaurants
